University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
Shanghai University of Traditional Chinese Medicine,Summer School (TCM),TCM,Non-Degree,English,7500,0,0,0,100,7500,Jun,2020,9750,1000
Changchun University of Science and Technology,Preparatory Program of Humanities Direction(Path A),Humanities,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Changchun University of Science and Technology,Preparatory Program of Business Direction(Path A),Business,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Changchun University of Science and Technology,Preparatory Program of Science and Engineering Direction(Path A),Other Engineering,Non-Degree,Chinese,10000,0,0,10000,50,20000,Sep,2019,1500,1500
Qingdao University,Long-term Chinese Language Program,Chinese Language,Non-Degree,Chinese,7000,1,1,0,100,7000,Sep,2019,0,0
Qingdao University,Long-term Chinese Language Program,Chinese Language,Non-Degree,Chinese,14000,1,1,0,100,14000,Sep,2019,0,0
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,40000,66.66666667,120000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,40000,66.66666667,120000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Engineering,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Business,Non-Degree,English,80000,0,0,60000,57.14285714,140000,Sep,2019,24000,2700
Zhengzhou University of Light Industry,Chinese Language Program,Chinese Language,Non-Degree,Chinese,7500,0,0,1500,83.33333333,9000,Sep,2019,1000,1500
Zhengzhou University of Light Industry,Chinese Language Program,Chinese Language,Non-Degree,Chinese,7500,0,0,1500,83.33333333,9000,Sep,2019,1000,1500
Beijing Chinese Language and Culture College,Chinese Language Class,Chinese Language,Non-Degree,Chinese,3000,0,0,14700,16.94915254,17700,Sep,2019,1700,1000
Beijing Chinese Language and Culture College,Chinese Language Class,Chinese Language,Non-Degree,Chinese,3000,0,0,5100,37.03703704,8100,Sep,2019,1700,1000
Ningbo University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6000,0,0,10000,37.5,16000,Sep,2019,750,1000
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Mar,2020,2500,1000
Shandong Polytechnic College,Chinese and Culture Program,Chinese Language,Non-Degree,Chinese,6000,0,0,2000,75,8000,Sep,2019,3000,1500
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering, Geology,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Sep,2019,2500,1000
Changchun University of Technology,Long-Term Chinese Training Program,Chinese Language,Non-Degree,Chinese,5000,0,0,5000,50,10000,Sep,2019,2500,1000
Beijing Film Academy,"""Belt and Road"" Photography Program",Arts,Non-Degree,English,46000,0,0,0,100,46000,Sep,2019,2400,2200
Zhejiang A & F University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6000,0,0,8400,41.66666667,14400,Sep,2019,360,1000
Zhejiang A & F University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,3000,0,0,3600,45.45454545,6600,Sep,2019,360,1000
China University of Petroleum - Beijing,(Top 300 Program)Geology, Geology,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
Tianjin International Chinese College,Preparatory Education,Education,Non-Degree,Chinese,4000,0,0,10000,28.57142857,14000,Sep,2019,2000,1500
Nanchang University,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,6500,1,0,6500,50,13000,Sep,2019,0,1500
China University of Petroleum - Beijing,(Top 300 Program)Geophysics, Geophysics,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,25000,1,1,0,100,25000,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance,Finance,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology,Geology,Non-Degree,English,12500,1,1,0,100,12500,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Geophysics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Chemical Engineering,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Oil and Gas,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Management,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Economics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Chinese Language,Non-Degree,Chinese,0,1,0,24000,0,24000,Sep,2019,4000,1500
Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Chinese Language,Non-Degree,Chinese,0,1,0,24000,0,24000,Sep,2019,4000,1500
China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Geophysics,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Finance, Finance,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology, Geology,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology, Chemical Engineering,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geophysics, Geophysics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering, Oil and Gas,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics, Economics,Non-Degree,English,12500,1,1,0,100,12500,Feb,2020,0,0
China University of Petroleum - Beijing,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,21000,1,1,0,100,21000,Sep,2019,0,0
China University of Petroleum - Beijing,Chinese Language Program,Chinese Language ,Non-Degree,Chinese,10500,1,1,0,100,10500,Sep,2019,0,0
China University of Petroleum - Beijing,(Top 300 Program)Geology,Geology,Non-Degree,English,25000,1,1,0,100,25000,Feb,2020,0,0
Xi'an International Studies University,Long-term Chinese Language Program,Chinese Language ,Non-Degree,Chinese,10000,0,0,4600,68.49315068,14600,Sep,2019,1800,1500
Changchun University of Science and Technology,International Economics and Trade,Economics,Bachelor,English,5550,0,0,12950,30,18500,Sep,2019,4800,1750
